abyssal_blade | [s] None => 4511 | [h] None => 4ce61c10e0 | 2023-11-16 13:28:40 (UTC+3)
aegis | [s] None => 2857 | [h] None => 216f8c36b2 | 2023-11-16 13:28:40 (UTC+3)
aeon_disk | [s] None => 3425 | [h] None => c9833e5777 | 2023-11-16 13:28:40 (UTC+3)
aether_lens | [s] None => 2490 | [h] None => 47d582e9aa | 2023-11-16 13:28:40 (UTC+3)
aghanims_shard | [s] None => 2089 | [h] None => 68b1ad1984 | 2023-11-16 13:28:40 (UTC+3)
aghanims_shard_roshan | [s] None => 2106 | [h] None => 396d026696 | 2023-11-16 13:28:40 (UTC+3)
ancient_janggo | [s] None => 3428 | [h] None => 0b836b7db5 | 2023-11-16 13:28:40 (UTC+3)
ancient_perseverance | [s] None => 2300 | [h] None => 49885a1a38 | 2023-11-16 13:28:40 (UTC+3)
apex | [s] None => 2256 | [h] None => 9d671673cc | 2023-11-16 13:28:40 (UTC+3)
arcane_blink | [s] None => 3274 | [h] None => 388d6ad380 | 2023-11-16 13:28:40 (UTC+3)
arcane_boots | [s] None => 2694 | [h] None => a41adddd58 | 2023-11-16 13:28:40 (UTC+3)
arcane_ring | [s] None => 2546 | [h] None => d7a4ead26e | 2023-11-16 13:28:40 (UTC+3)
arcane_scout | [s] None => 2657 | [h] None => 01632c4b0b | 2023-11-16 13:28:40 (UTC+3)
armlet | [s] None => 4052 | [h] None => ac17c23ffd | 2023-11-16 13:28:40 (UTC+3)
ascetic_cap | [s] None => 2767 | [h] None => b3dca9c999 | 2023-11-16 13:28:40 (UTC+3)
assassins_dagger | [s] None => 2268 | [h] None => 3449216a09 | 2023-11-16 13:28:40 (UTC+3)
assault | [s] None => 3065 | [h] None => 8f75496ba4 | 2023-11-16 13:28:40 (UTC+3)
ballista | [s] None => 2607 | [h] None => ef471a0072 | 2023-11-16 13:28:40 (UTC+3)
barricade | [s] None => 2622 | [h] None => 4da63d1829 | 2023-11-16 13:28:40 (UTC+3)
basher | [s] None => 3390 | [h] None => 129206941a | 2023-11-16 13:28:40 (UTC+3)
belt_of_strength | [s] None => 2040 | [h] None => 4e789543b4 | 2023-11-16 13:28:40 (UTC+3)
bfury | [s] None => 4253 | [h] None => d88f235e27 | 2023-11-16 13:28:40 (UTC+3)
black_king_bar | [s] None => 3220 | [h] None => 8c619f7085 | 2023-11-16 13:28:40 (UTC+3)
black_powder_bag | [s] None => 2918 | [h] None => 531fd7daef | 2023-11-16 13:28:40 (UTC+3)
blade_mail | [s] None => 3414 | [h] None => cf4e8c91e3 | 2023-11-16 13:28:40 (UTC+3)
blade_of_alacrity | [s] None => 2037 | [h] None => 5301407b27 | 2023-11-16 13:28:40 (UTC+3)
blades_of_attack | [s] None => 2073 | [h] None => 71a82ba91e | 2023-11-16 13:28:40 (UTC+3)
blight_stone | [s] None => 2363 | [h] None => f80f74f51f | 2023-11-16 13:28:40 (UTC+3)
blighted_spirit | [s] None => 2410 | [h] None => 1cab947dac | 2023-11-16 13:28:40 (UTC+3)
blink | [s] None => 2762 | [h] None => 1c93f95039 | 2023-11-16 13:28:40 (UTC+3)
blitz_knuckles | [s] None => 2061 | [h] None => ba62d8b7ca | 2023-11-16 13:28:40 (UTC+3)
blood_grenade | [s] None => 3358 | [h] None => 99730e9aef | 2023-11-16 13:28:40 (UTC+3)
bloodstone | [s] None => 3112 | [h] None => fd31b04cde | 2023-11-16 13:28:40 (UTC+3)
bloodthorn | [s] None => 3859 | [h] None => b6e58f958e | 2023-11-16 13:28:40 (UTC+3)
book_of_shadows | [s] None => 2636 | [h] None => 3a6b56ca3c | 2023-11-16 13:28:40 (UTC+3)
boots | [s] None => 2100 | [h] None => a217260f0c | 2023-11-16 13:28:40 (UTC+3)
boots_of_bearing | [s] None => 3798 | [h] None => e71881d969 | 2023-11-16 13:28:40 (UTC+3)
boots_of_elves | [s] None => 2066 | [h] None => 015131e1ac | 2023-11-16 13:28:40 (UTC+3)
bottle | [s] None => 3789 | [h] None => 9d1586ef6d | 2023-11-16 13:28:40 (UTC+3)
bottomless_chalice | [s] None => 2937 | [h] None => edb0e2e874 | 2023-11-16 13:28:40 (UTC+3)
bracer | [s] None => 2818 | [h] None => 877dc3283a | 2023-11-16 13:28:40 (UTC+3)
branches | [s] None => 2352 | [h] None => de54242b0b | 2023-11-16 13:28:40 (UTC+3)
